time,Green_Er_Consumption_kW,Green_Er_Production_kW,Outdoor Temperature,Global Radiation
2022-09-01 00:00:00+00:00,280.31,0.0,19.7,7
2022-09-01 01:00:00+00:00,305.54716666666667,0.0,18.6,7
2022-09-01 02:00:00+00:00,224.03366666666668,0.0,18,7
2022-09-01 03:00:00+00:00,252.3065,0.0,17.4,7
2022-09-01 04:00:00+00:00,209.74249999999998,0.0,17.1,7
2022-09-01 05:00:00+00:00,242.90283333333335,0.0,16.7,7
2022-09-01 06:00:00+00:00,219.2458333333333,0.0,17.1,23.4
2022-09-01 07:00:00+00:00,303.5801666666667,0.0,18.3,154
2022-09-01 08:00:00+00:00,316.573,0.0,20,335
2022-09-01 09:00:00+00:00,499.71866666666665,0.0,21.8,512
2022-09-01 10:00:00+00:00,496.6161666666667,0.0,23.5,636
2022-09-01 11:00:00+00:00,573.8370000000001,0.0,25.5,718
2022-09-01 12:00:00+00:00,444.68499999999995,0.0,26.8,746
2022-09-01 13:00:00+00:00,402.26516666666674,0.0,28.1,727
2022-09-01 14:00:00+00:00,314.01666666666665,0.0,29,666
2022-09-01 15:00:00+00:00,261.45116666666667,0.0,29.6,562
2022-09-01 16:00:00+00:00,578.5468333333333,0.0,29.4,423
2022-09-01 17:00:00+00:00,483.11433333333326,0.0,28.5,183
2022-09-01 18:00:00+00:00,431.1368333333333,0.0,27.1,57.1
2022-09-01 19:00:00+00:00,579.5793333333334,0.0,24.6,8.53
2022-09-01 20:00:00+00:00,565.2105,0.0,22.9,7
2022-09-01 21:00:00+00:00,533.4258333333333,0.0,21.9,7
2022-09-01 22:00:00+00:00,393.444,0.0,21.4,7
2022-09-01 23:00:00+00:00,306.865,0.0,21,7
2022-09-02 00:00:00+00:00,277.768,0.0,20.2,7
2022-09-02 01:00:00+00:00,229.16983333333334,0.0,19.7,7
2022-09-02 02:00:00+00:00,257.0783333333334,0.0,19.2,6.03
2022-09-02 03:00:00+00:00,206.0096666666667,0.0,18.8,6.97
2022-09-02 04:00:00+00:00,270.29733333333326,0.0,18.4,7
2022-09-02 05:00:00+00:00,272.0943333333334,0.0,18.1,7
2022-09-02 06:00:00+00:00,318.63916666666665,0.0,17.9,23.4
2022-09-02 07:00:00+00:00,290.604,0.0,18.9,175
2022-09-02 08:00:00+00:00,310.2235,0.0,20.6,309
2022-09-02 09:00:00+00:00,561.9301666666668,0.0,22.5,486
2022-09-02 10:00:00+00:00,481.29999999999995,0.0,24.8,424
2022-09-02 11:00:00+00:00,387.69149999999996,0.0,25.4,275
2022-09-02 12:00:00+00:00,439.5381666666667,0.0,24,220
2022-09-02 13:00:00+00:00,448.63983333333334,0.0,23.2,175
2022-09-02 14:00:00+00:00,480.2060000000001,0.0,24.1,334
2022-09-02 15:00:00+00:00,593.2281666666667,0.0,26.7,520
2022-09-02 16:00:00+00:00,509.1613333333333,0.0,27.8,403
2022-09-02 17:00:00+00:00,485.1755,0.0,27.1,170
2022-09-02 18:00:00+00:00,336.5436666666667,0.0,25.8,34.4
2022-09-02 19:00:00+00:00,431.10966666666667,0.0,23.9,6.80
2022-09-02 20:00:00+00:00,517.0006666666667,0.0,22.3,6.97
2022-09-02 21:00:00+00:00,497.42216666666667,0.0,21.6,7
2022-09-02 22:00:00+00:00,307.4816666666667,14.666666666666666,19.6,7
2022-09-02 23:00:00+00:00,307.1908333333333,0.0,18.7,7
2022-09-03 00:00:00+00:00,245.1243333333334,0.0,18,7
2022-09-03 01:00:00+00:00,274.33666666666664,0.0,18,7
2022-09-03 02:00:00+00:00,261.27549999999997,0.0,17.7,7
2022-09-03 03:00:00+00:00,295.00800000000004,0.0,17.9,7
2022-09-03 04:00:00+00:00,239.9093333333333,0.0,17.6,6.03
2022-09-03 05:00:00+00:00,243.48616666666666,0.0,17.6,6.97
2022-09-03 06:00:00+00:00,217.4705,0.0,17.5,27.3
2022-09-03 07:00:00+00:00,230.94366666666667,0.0,18.3,135
2022-09-03 08:00:00+00:00,222.92933333333335,0.0,20.3,328
2022-09-03 09:00:00+00:00,215.13266666666672,0.0,22.2,432
2022-09-03 10:00:00+00:00,204.9856666666667,0.0,24.3,614
2022-09-03 11:00:00+00:00,129.62566666666666,0.0,25.8,615
2022-09-03 12:00:00+00:00,196.09783333333334,0.0,25.6,411
2022-09-03 13:00:00+00:00,128.573,0.0,26.9,650
2022-09-03 14:00:00+00:00,155.2965,0.0,27.9,457
2022-09-03 15:00:00+00:00,180.962,0.0,29,541
2022-09-03 16:00:00+00:00,146.35733333333334,0.0,28.1,340
2022-09-03 17:00:00+00:00,126.37133333333334,0.0,27.3,173
2022-09-03 18:00:00+00:00,185.10850000000002,0.0,25.8,40.4
2022-09-03 19:00:00+00:00,178.80200000000002,0.0,24.5,7.97
2022-09-03 20:00:00+00:00,241.61716666666663,0.0,19.9,7
2022-09-03 21:00:00+00:00,326.95733333333334,0.0,18.1,7
2022-09-03 22:00:00+00:00,330.13933333333335,2.0,18.1,7
2022-09-03 23:00:00+00:00,311.2065,0.0,17.9,7
2022-09-04 00:00:00+00:00,240.6925,0.0,17.4,7
2022-09-04 01:00:00+00:00,208.47299999999998,0.0,17.4,7
2022-09-04 02:00:00+00:00,213.03116666666665,0.0,17.4,7
2022-09-04 03:00:00+00:00,223.93499999999997,0.0,17.4,6.03
2022-09-04 04:00:00+00:00,199.62483333333333,0.0,17.1,6.97
2022-09-04 05:00:00+00:00,199.27816666666664,0.0,17,7
2022-09-04 06:00:00+00:00,193.32966666666667,0.0,17.1,19.6
2022-09-04 07:00:00+00:00,188.346,0.0,18.3,161
2022-09-04 08:00:00+00:00,201.904,0.0,19.8,340
2022-09-04 09:00:00+00:00,307.44733333333335,0.0,21.4,494
2022-09-04 10:00:00+00:00,264.0035,0.0,23.4,621
2022-09-04 11:00:00+00:00,165.3965,0.0,25.4,701
2022-09-04 12:00:00+00:00,142.88933333333333,0.0,27.9,734
2022-09-04 13:00:00+00:00,141.92549999999997,0.0,29.2,701
2022-09-04 14:00:00+00:00,143.63116666666667,0.0,30.2,672
2022-09-04 15:00:00+00:00,162.29816666666667,0.0,30.3,472
2022-09-04 16:00:00+00:00,133.9145,0.0,30.4,364
2022-09-04 17:00:00+00:00,187.6505,0.0,30,231
2022-09-04 18:00:00+00:00,231.15166666666667,0.0,27.2,36.5
2022-09-04 19:00:00+00:00,211.09650000000002,0.0,24.9,7.77
2022-09-04 20:00:00+00:00,245.63649999999998,0.0,23.9,7
2022-09-04 21:00:00+00:00,291.51916666666665,0.0,23.2,7
2022-09-04 22:00:00+00:00,266.84499999999997,5.416666666666667,23.1,7
2022-09-04 23:00:00+00:00,314.3521666666667,0.0,22.2,7
2022-09-05 00:00:00+00:00,267.7001666666667,0.0,21,7
2022-09-05 01:00:00+00:00,235.65533333333335,0.0,20.5,7
2022-09-05 02:00:00+00:00,260.041,0.0,19.9,7
2022-09-05 03:00:00+00:00,237.43083333333334,0.0,19.4,7
2022-09-05 04:00:00+00:00,239.631,0.0,19.3,7
2022-09-05 05:00:00+00:00,295.4678333333333,0.0,18.9,7
2022-09-05 06:00:00+00:00,271.47516666666667,0.0,19.1,22.5
2022-09-05 07:00:00+00:00,356.82666666666665,0.0,20.1,161
2022-09-05 08:00:00+00:00,288.52483333333333,0.0,22.4,375
2022-09-05 09:00:00+00:00,560.6041666666666,12.5,24.7,493
2022-09-05 10:00:00+00:00,492.07383333333337,0.0,26.6,595
